Argomento;Numero;Cognome;Nome;Titolo;Descrizione;Prezzo;Soffietto;
Acroamatica;1;Boncompagni;Solas.;Il mondo dei simboli.;Numeri, lettere e figure geometriche. Roma. Mediterranee 1984, 8°, pp. 246. ;€ 13;
Acroamatica;2;Cesàri;Ettore. ;Quello che ignoriamo.;Che cosa può darci la scienza  - Enigmi della natura - enigmi umani. Milano. Hoepli 1940, 8°, pp. xii - 286.;€ 14;
Acroamatica;3;Tumminelli;Emilio.;I poteri magici.;Viaggio attraverso le dimensioni del fantastico. Milano. Rizzoli 1986, 8°, pp. 202.;€ 10;
Aeronautica;4;Garuffa;Egidio.;L'Aeronautica moderna.;Comnquista dell'aria, Aerodinamica, Superfici sostentanti, Gruppo motopropulsore, Dirigibile, aeroplani e idrovolanti, equilibrio, stabilità, evoluzioni… Milano. Hoepli 1934, 8° grande, pp. 664, con 550 illustrazioni nel testo. Leg. t.t. ' titoli in oro, conserva le copetine orig.;€ 100;
Agiografia - Vita di Santi;5;ADSC.;;La pescatrice di anime in mezzo al secolo…;"La Venerabile Caterina Volpicelli Fondatrice delle ""Ancelle del S. Cuore"". Sessa Aurunca 1966, 8°, pp.184, con ill. in nero e a colori n.t.";€ 12;La Santa di Port'Alba... 
Agiografia - Vita di Santi;6;Castagna;Umberto.;Lo sguardio nel futuro.;Madre M. Beatrice Cenci e le suore di Carità del Principe di Palagonia. Napoli. Arte Tipografica 2005, 8°, pp. 240.;€ 10;
Agiografia - Vita di Santi;7;Damiani;P.G.M.;Il canzoniere di San Gerardo Maiella.;Materdomini. Tipografia Majella 1927, 16°, pp. 176.;€ 15;
Agiografia - Vita di Santi;8;Demimuid;M.;Vita del Beato Francesco Clet prete della Congregazione della Missione martirizzato in Cina il 18 febbrajo 1820. ;Napoli. Pisanzio 1900, 8°, pp. 216.  Leg. mz perg., angoli, fregi e titoli.;€ 30;
Agiografia - Vita di Santi;9;Iorio;Raffaele (a cura).;Saint Paulin Evesque de Nole.;Poeme par M. Perrault… Ristampa anastatica con postfazione, note critiche e traduzione e varianti sul anoscritto del 1675 a cura di R. Iorio. Napoli. Loffredo 1990, 8°, pp. 268. ;€ 15;
Agiografia - Vita di Santi;10;Mastroianni;Fiorenzo.;S. Antonio di Padova. ;Vita e Dottrina. Napoli Tdc 1999, 8°, pp. 318.;€ 10;
Agiografia - Vita di Santi;11;Niccolai;Foresto (a cura).;I provveditori della Misericordia nel corso dei secoli. ;Firenze. All'Insegna del Giglio 2010, 8°, pp. 102, con ill. n. t.;€ 8;
Agiografia - Vita di Santi;12;Niccolai;Foresto (a cura).;La Misericordia di Firenze.;Le feste di San Sebastiano. Firenze. All'Insegna del Giglio 2008, 8°, pp. 214, con ill. n. t.;€ 10;
Agiografia - Vita di Santi;13;Parisi;Giovanni P. ;La venerabile Maria Clotilde.;Regina di Sardegna. Messina. Samperi 1983, 8°, pp. 198, con ill. nel testo.;€ 10;
Agiografia - Vita di Santi;14;Sala;Rosario.;Santa Chiara della Croce. ;La mistica agostiniana di Montefalco. Roma. Ed. Federazione Monache Agostiniane 1977, 8°, pp. 224, con 2 tavole f.t.;€ 10;
Agiografia - Vita di Santi;15;Schmidtmayr;M.;Bambini Santi.;Collana di biografie di piccoli Santi dei nostri giorni. Bolzano. Athesia 1936, 8°, pp. 308, con 22 tavole f.t. corrispondenti alle biografie. Bross. edit., muta.;€ 20;
Agricoltura;16;Di Riccio;Guido.;L'irrigazione dei terreni.;Opere e tecnica. Bologna. Edizioni Agricole 1945, 8° grande, pp. 326, con 143 figure nel testo. Leg. mz tela, titoli.;€ 14;
Alpi;17;Comici ;Emilio.;Alpinismo eroico;a cura del Comitato Nazionale del CAI per le onoranze ad Emilio Comici.  Milano. Hoepli 1942, 4°, pp. xxviii - 308, con numerosi schizzi originali sulla tecnica di arrampicamento e 159 illustrazioni e CXX tavole fuori testo. Bross. edit., ill. qualche ingiallitura dovuta al tipo di carta, ma nell'insieme buon esemplare. Raro. ;€ 90;Testi di A. Berti, G. Brunner, G.B. Fabjan, P.A. Sagramora, F. Stefenelli…
Alpi ;18;Fleming;Fergus.;Cime misteriose.;La grande avventura della conquista delle Alpi. Roma. Carocci 2001, 8°, pp. 396, con 16 tavole f.t. ;€ 12;
Antiche civiltà;19;Bartolini;Gilda (a cura).;Introduzione all'Etruscologia.;Milano. Hoepli 2012, 8°, pp. 448, con ill. n.t.;€ 13;
Antichità greco-romane;20;Accattino;Paolo.;Società e valori nel pensiero greco.;Torino. Loescher 1985, 8°, pp. 280.;€ 10;
